Date,BNF Straddle_gross_PnL,Brokerage,TransactionCharges,ClearingCharges,STT,GST,SEBI,StampDuty,TotalCharges,net_PNL,net_rets,Time,PNL,cum_pnl,month,Date
2020-08-24,563.0434782609,0,0,0,0,0,0,0,0,563.0434782609,0.1876811594,2020-08-24,563.0434782609,563.0434782609,"Aug,2020",2020-08-24
2020-08-25,670.8639705882,160,23.11,13.86,9.71,35.46,0.09,2.77,245,425.8639705882,0.1419546569,2020-08-25,670.8639705882,1233.9074488491,"Aug,2020",2020-08-25
2020-08-26,2437.3880597015,80,11.36,6.81,4.77,17.67,0.05,1.36,122.02,2315.3680597015,0.7717893532,2020-08-26,2437.3880597015,3671.2955085506,"Aug,2020",2020-08-26
2020-08-27,12356.8647540984,80,5.48,3.29,2.3,15.98,0.02,0.66,107.72,12249.1447540984,4.0830482514,2020-08-27,12356.8647540984,16028.160262649,"Aug,2020",2020-08-27
2020-08-28,-1674.3256578947,160,22.22,13.33,9.33,35.2,0.09,2.67,242.83,-1917.1556578947,-0.639051886,2020-08-28,-1674.3256578947,14353.8346047542,"Aug,2020",2020-08-28
2020-08-31,16167.36328125,80,22.02,13.21,9.25,20.74,0.09,2.64,147.94,16019.42328125,5.3398077604,2020-08-31,16167.36328125,30521.1978860042,"Aug,2020",2020-08-31
2020-09-01,-6530.0176056338,80,22.16,13.29,9.31,20.78,0.09,2.66,148.28,-6678.2976056338,-2.2260992019,2020-09-01,-6530.0176056338,23991.1802803704,"Sep,2020",2020-09-01
2020-09-02,10131.4130434783,160,38.23,22.94,16.06,39.81,0.15,4.59,281.77,9849.6430434783,3.2832143478,2020-09-02,10131.4130434783,34122.5933238487,"Sep,2020",2020-09-02
2020-09-03,8729.3597560976,160,22.18,13.31,9.31,35.19,0.09,2.66,242.74,8486.6197560976,2.828873252,2020-09-03,8729.3597560976,42851.9530799462,"Sep,2020",2020-09-03
2020-09-04,8283.6923076923,80,24.55,14.73,10.31,21.47,0.1,2.95,154.11,8129.5823076923,2.7098607692,2020-09-04,8283.6923076923,51135.6453876385,"Sep,2020",2020-09-04
2020-09-07,5673.515625,80,24.55,14.73,10.31,21.47,0.1,2.95,154.11,5519.405625,1.839801875,2020-09-07,5673.515625,56809.1610126385,"Sep,2020",2020-09-07
2020-09-08,4084.375,160,34.31,20.59,14.41,38.68,0.14,4.12,272.25,3812.125,1.2707083333,2020-09-08,4084.375,60893.5360126385,"Sep,2020",2020-09-08
2020-09-09,993.7239583333,160,26.08,15.65,10.95,36.31,0.1,3.13,252.23,741.4939583333,0.2471646528,2020-09-09,993.7239583333,61887.2599709719,"Sep,2020",2020-09-09
2020-09-11,-6178.2208029197,160,26.08,15.65,10.95,36.31,0.1,3.13,252.23,-6430.4508029197,-2.143483601,2020-09-11,-6178.2208029197,55709.0391680522,"Sep,2020",2020-09-11
2020-09-14,-889.1050295858,80,17.18,10.31,7.22,19.35,0.07,2.06,136.18,-1025.2850295858,-0.3417616765,2020-09-14,-889.1050295858,54819.9341384664,"Sep,2020",2020-09-14
2020-09-15,1762.6875,80,17.18,10.31,7.22,19.35,0.07,2.06,136.18,1626.5075,0.5421691667,2020-09-15,1762.6875,56582.6216384664,"Sep,2020",2020-09-15
2020-09-16,-7646.3565340909,80,17.18,10.31,7.22,19.35,0.07,2.06,136.18,-7782.5365340909,-2.5941788447,2020-09-16,-7646.3565340909,48936.2651043755,"Sep,2020",2020-09-16
2020-09-17,605.0454545455,80,17.18,10.31,7.22,19.35,0.07,2.06,136.18,468.8654545455,0.1562884848,2020-09-17,605.0454545455,49541.3105589209,"Sep,2020",2020-09-17
2020-09-18,-268.125,80,17.18,10.31,7.22,19.35,0.07,2.06,136.18,-404.305,-0.1347683333,2020-09-18,-268.125,49273.1855589209,"Sep,2020",2020-09-18
2020-09-21,-546.3997005988,80,17.18,10.31,7.22,19.35,0.07,2.06,136.18,-682.5797005988,-0.2275265669,2020-09-21,-546.3997005988,48726.7858583221,"Sep,2020",2020-09-21
2020-09-22,-1987.4234693878,80,17.18,10.31,7.22,19.35,0.07,2.06,136.18,-2123.6034693878,-0.7078678231,2020-09-22,-1987.4234693878,46739.3623889344,"Sep,2020",2020-09-22
2020-09-23,456.2671232877,80,17.18,10.31,7.22,19.35,0.07,2.06,136.18,320.0871232877,0.1066957078,2020-09-23,456.2671232877,47195.629512222,"Sep,2020",2020-09-23
2020-09-24,2336.1734693878,0,0,0,0,0,0,0,0,2336.1734693878,0.7787244898,2020-09-24,2336.1734693878,49531.8029816098,"Sep,2020",2020-09-24
2020-09-25,186.2804878049,0,0,0,0,0,0,0,0,186.2804878049,0.0620934959,2020-09-25,186.2804878049,49718.0834694147,"Sep,2020",2020-09-25
2020-09-28,7119.7593167702,80,20.42,12.26,8.58,20.28,0.08,2.45,144.07,6975.6893167702,2.3252297723,2020-09-28,7119.7593167702,56837.8427861849,"Sep,2020",2020-09-28
2020-09-29,2375.8112582782,80,20.42,12.26,8.58,20.28,0.08,2.45,144.07,2231.7412582782,0.7439137528,2020-09-29,2375.8112582782,59213.654044463,"Sep,2020",2020-09-29
2020-09-30,-3390.4474431818,80,20.42,12.26,8.58,20.28,0.08,2.45,144.07,-3534.5174431818,-1.1781724811,2020-09-30,-3390.4474431818,55823.2066012812,"Sep,2020",2020-09-30
2020-10-01,5783.5017123288,80,20.42,12.26,8.58,20.28,0.08,2.45,144.07,5639.4317123288,1.8798105708,2020-10-01,5783.5017123288,61606.70831361,"Oct,2020",2020-10-01
2020-10-05,1534.4225543478,80,5.28,3.17,2.22,15.92,0.02,0.63,107.24,1427.1825543478,0.4757275181,2020-10-05,1534.4225543478,63141.1308679578,"Oct,2020",2020-10-05
2020-10-06,-4170.0821167883,160,32.33,19.4,13.58,38.11,0.13,3.88,267.42,-4437.5021167883,-1.4791673723,2020-10-06,-4170.0821167883,58971.0487511695,"Oct,2020",2020-10-06
2020-10-07,-4389.5811518325,80,10.99,6.6,4.62,17.57,0.04,1.32,121.14,-4510.7211518325,-1.5035737173,2020-10-07,-4389.5811518325,54581.467599337,"Oct,2020",2020-10-07
2020-10-08,-5304.0659340659,80,10.99,6.6,4.62,17.57,0.04,1.32,121.14,-5425.2059340659,-1.808401978,2020-10-08,-5304.0659340659,49277.4016652711,"Oct,2020",2020-10-08
2020-10-09,2601.7657342657,160,27.25,16.35,11.44,36.65,0.11,3.27,255.06,2346.7057342657,0.7822352448,2020-10-09,2601.7657342657,51879.1673995368,"Oct,2020",2020-10-09
2020-10-12,2796.1671686747,80,19.76,11.85,8.3,20.09,0.08,2.37,142.45,2653.7171686747,0.8845723896,2020-10-12,2796.1671686747,54675.3345682115,"Oct,2020",2020-10-12
2020-10-13,-4749.7127329193,80,19.76,11.85,8.3,20.09,0.08,2.37,142.45,-4892.1627329193,-1.630720911,2020-10-13,-4749.7127329193,49925.6218352922,"Oct,2020",2020-10-13
2020-10-14,4832.5343406594,80,17.2,10.32,7.22,19.35,0.07,2.06,136.22,4696.3143406593,1.5654381136,2020-10-14,4832.5343406594,54758.1561759516,"Oct,2020",2020-10-14
2020-10-15,-2737.2474093264,80,13.56,8.14,5.7,18.31,0.05,1.63,127.39,-2864.6374093264,-0.9548791364,2020-10-15,-2737.2474093264,52020.9087666252,"Oct,2020",2020-10-15
2020-10-16,-2876.1066878981,80,6.92,4.15,2.91,16.39,0.03,0.83,111.23,-2987.3366878981,-0.995778896,2020-10-16,-2876.1066878981,49144.8020787271,"Oct,2020",2020-10-16
2020-10-19,4937.9667721519,80,8.36,5.02,3.51,16.81,0.03,1,114.74,4823.2267721519,1.6077422574,2020-10-19,4937.9667721519,54082.768850879,"Oct,2020",2020-10-19
2020-10-20,1650.9760273973,80,16.71,10.02,7.02,19.21,0.07,2,135.03,1515.9460273973,0.5053153425,2020-10-20,1650.9760273973,55733.7448782762,"Oct,2020",2020-10-20
2020-10-21,-6260.7120253165,160,29.4,17.64,12.35,37.27,0.12,3.53,260.31,-6521.0220253165,-2.1736740084,2020-10-21,-6260.7120253165,49473.0328529598,"Oct,2020",2020-10-21
2020-10-22,7940.3159340659,80,12.7,7.62,5.33,18.06,0.05,1.52,125.29,7815.0259340659,2.6050086447,2020-10-22,7940.3159340659,57413.3487870257,"Oct,2020",2020-10-22
2020-10-23,1140.475,80,9.74,5.84,4.09,17.21,0.04,1.17,118.09,1022.385,0.340795,2020-10-23,1140.475,58553.8237870257,"Oct,2020",2020-10-23
2020-10-26,3876.3068181818,80,20.36,12.21,8.55,20.26,0.08,2.44,143.9,3732.4068181818,1.2441356061,2020-10-26,3876.3068181818,62430.1306052075,"Oct,2020",2020-10-26
2020-10-27,10191.4161849711,80,20.36,12.21,8.55,20.26,0.08,2.44,143.9,10047.5161849711,3.3491720617,2020-10-27,10191.4161849711,72621.5467901786,"Oct,2020",2020-10-27
2020-10-28,-9249.7706422018,160,32.25,19.35,13.55,38.09,0.13,3.87,267.24,-9517.0106422018,-3.1723368807,2020-10-28,-9249.7706422018,63371.7761479768,"Oct,2020",2020-10-28
2020-10-29,7633.4911242604,160,24.49,14.69,10.29,35.85,0.1,2.94,248.36,7385.1311242604,2.4617103748,2020-10-29,7633.4911242604,71005.2672722371,"Oct,2020",2020-10-29
